,Tm,Att,Yds,TD
0,Arizona Cardinals,25.8,119.2,0.82
1,Seattle Seahawks,24.0,106.8,1.12
2,Denver Broncos,22.6,118.4,0.71
3,Carolina Panthers,24.9,109.0,1.24
4,Indianapolis Colts,25.7,103.9,0.94
5,Washington Commanders,23.1,102.0,0.82
6,New York Jets,25.1,99.9,0.71
7,New York Giants,24.1,110.5,0.94
8,Las Vegas Raiders,23.4,98.1,0.76
9,Chicago Bears,18.6,69.5,0.41
10,Pittsburgh Steelers,22.7,96.4,0.53
11,Green Bay Packers,22.9,95.6,0.76
12,Los Angeles Chargers,22.4,90.0,0.59
13,Cincinnati Bengals,20.6,94.3,0.71
14,Cleveland Browns,18.9,83.2,0.53
15,Buffalo Bills,18.5,81.9,0.53
16,Jacksonville Jaguars,19.3,77.0,0.53
17,Houston Texans,22.9,76.8,0.65
18,New England Patriots,22.4,76.1,0.59
19,Dallas Cowboys,21.4,85.9,0.53
20,Miami Dolphins,19.9,76.6,0.59
21,Tennessee Titans,23.3,89.9,0.47
22,New Orleans Saints,21.9,91.7,0.41
23,Kansas City Chiefs,19.0,86.9,0.35
24,Baltimore Ravens,20.3,90.7,0.29
25,Minnesota Vikings,21.4,80.6,0.59
26,Philadelphia Eagles,19.6,78.8,0.53
27,Atlanta Falcons,22.9,87.5,0.29
28,Tampa Bay Buccaneers,20.6,81.3,0.29
29,San Francisco 49ers,15.6,64.5,0.47
30,Los Angeles Rams,18.9,77.5,0.35
31,Detroit Lions,17.4,60.5,0.53
