,Player,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G
0,Derrick Henry,TEN,17,280,1167,12,69,4.2,68.6
1,Christian McCaffrey,SFO,16,272,1459,14,72,5.4,91.2
2,Rachaad White,TAM,17,272,990,6,38,3.6,58.2
3,Travis Etienne,JAX,17,267,1008,11,62,3.8,59.3
4,Joe Mixon,CIN,17,257,1034,9,44,4.0,60.8
5,Najee Harris,PIT,17,255,1035,8,25,4.1,60.9
6,Tony Pollard,DAL,17,252,1005,6,31,4.0,59.1
7,Saquon Barkley,NYG,14,247,962,6,36,3.9,68.7
8,Chuba Hubbard,CAR,17,238,902,5,22,3.8,53.1
9,James Cook,BUF,17,237,1122,2,42,4.7,66.0
10,Josh Jacobs,LVR,13,233,805,6,63,3.5,61.9
11,D'Andre Swift,PHI,16,229,1049,5,43,4.6,65.6
12,Kyren Williams,LAR,12,228,1144,12,56,5.0,95.3
13,Breece Hall,NYJ,17,223,994,5,83,4.5,58.5
14,David Montgomery,DET,14,219,1015,13,75,4.6,72.5
15,Kenneth Walker III,SEA,15,219,905,8,45,4.1,60.3
16,Javonte Williams,DEN,16,217,774,3,21,3.6,48.4
17,Devin Singletary,HOU,17,216,898,4,24,4.2,52.8
18,Bijan Robinson,ATL,17,214,976,4,38,4.6,57.4
19,Raheem Mostert,MIA,15,209,1012,18,49,4.8,67.5
20,James Conner,ARI,13,208,1040,7,44,5.0,80.0
21,Isiah Pacheco,KAN,14,205,935,7,48,4.6,66.8
22,Jerome Ford,CLE,17,204,813,4,69,4.0,47.8
23,Gus Edwards,BAL,17,198,810,13,42,4.1,47.6
24,Tyler Allgeier,ATL,17,186,683,4,31,3.7,40.2
25,Ezekiel Elliott,NWE,17,184,642,3,17,3.5,37.8
26,Zack Moss,IND,14,183,794,5,56,4.3,56.7
27,Jahmyr Gibb,DET,15,182,945,10,36,5.2,63.0
28,Alvin Kamara,NOR,13,180,694,5,17,3.9,53.4
29,Alexander Mattison,MIN,16,180,700,0,21,3.9,43.8
30,Austin Ekeler,LAC,14,179,628,5,55,3.5,44.9
31,AJ Dillon,GNB,15,178,613,2,40,3.4,40.9
32,Brian Robinson Jr.,WAS,15,178,733,5,29,4.1,48.9
33,Jonathan Taylor,IND,10,169,741,7,49,4.4,74.1
34,Jalen Hurts,PHI,17,157,605,15,24,3.9,35.6
35,Rhamondre Stevenson,NWE,12,156,619,4,64,4.0,51.6
36,Jaylen Warren,PIT,17,149,784,4,74,5.3,46.1
37,Lamar Jackson,BAL,16,148,821,5,30,5.5,51.3
38,Dameon Pierce,HOU,14,145,416,2,22,2.9,29.7
39,Aaron Jones,GNB,11,142,656,2,39,4.6,59.6
40,Kareem Hunt,CLE,15,135,411,9,16,3.0,27.4
41,Khalil Herbert,CHI,12,132,611,2,38,4.6,50.9
42,Miles Sanders,CAR,16,129,432,1,48,3.3,27.0
43,Justin Fields,CHI,13,124,657,4,39,5.3,50.5
44,Josh Allen,BUF,17,111,524,15,23,4.7,30.8
45,D'Onta Foreman,CHI,9,109,425,4,22,3.9,47.2
46,Zach Charbonnet,SEA,16,108,462,1,23,4.3,28.9
47,Joshua Kelley,LAC,17,107,405,2,49,3.8,23.8
48,Jamaal Williams,NOR,13,106,306,1,17,2.9,23.5
49,Zamir White,LVR,17,104,451,1,43,4.3,26.5
50,De'Von Achane,MIA,11,103,800,8,76,7.8,72.7
